# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-03-16 13:43:47 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03331500 TIPPECANOE RIVER NEAR ORA, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03331500
#            TS   parameter     statistic     Description
#         51588       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=03331500&ts_ids=51588]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	51588_00060_00003	51588_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03331500	1943-10-01	429	A
USGS	03331500	1943-10-02	417	A
USGS	03331500	1943-10-03	405	A
USGS	03331500	1943-10-04	393	A
USGS	03331500	1943-10-05	381	A
USGS	03331500	1943-10-06	381	A
USGS	03331500	1943-10-07	369	A
USGS	03331500	1943-10-08	369	A
USGS	03331500	1943-10-09	357	A
USGS	03331500	1943-10-10	357	A
USGS	03331500	1943-10-11	345	A
USGS	03331500	1943-10-12	345	A
USGS	03331500	1943-10-13	357	A
USGS	03331500	1943-10-14	393	A
USGS	03331500	1943-10-15	405	A
USGS	03331500	1943-10-16	453	A
USGS	03331500	1943-10-17	503	A
USGS	03331500	1943-10-18	503	A
USGS	03331500	1943-10-19	478	A
USGS	03331500	1943-10-20	453	A
USGS	03331500	1943-10-21	429	A
USGS	03331500	1943-10-22	417	A
USGS	03331500	1943-10-23	417	A
USGS	03331500	1943-10-24	405	A
USGS	03331500	1943-10-25	393	A
USGS	03331500	1943-10-26	369	A
USGS	03331500	1943-10-27	357	A
USGS	03331500	1943-10-28	357	A
USGS	03331500	1943-10-29	357	A
USGS	03331500	1943-10-30	345	A
USGS	03331500	1943-10-31	345	A
USGS	03331500	1943-11-01	357	A
USGS	03331500	1943-11-02	381	A
USGS	03331500	1943-11-03	405	A
